@relation 1merLabeled

@attribute A real 
@attribute R real
@attribute N real
@attribute D real
@attribute C real
@attribute E real
@attribute Q real
@attribute G real
@attribute H real
@attribute I real
@attribute L real
@attribute K real
@attribute M real
@attribute F real
@attribute P real
@attribute S real
@attribute T real
@attribute W real
@attribute Y real
@attribute V real
@attribute errorPercent real

@data
0.167,0.083,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.083,0.083,0.000,0.000,0.000,0.000,0.167,0.167,0.000,0.000,0.000,0.223058
0.080,0.040,0.000,0.120,0.000,0.080,0.040,0.160,0.040,0.040,0.120,0.000,0.040,0.080,0.080,0.000,0.000,0.000,0.040,0.040,0.0657102
0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.188,0.000,0.062,0.062,0.000,0.000,0.000,0.000,0.062,0.062,0.000,0.000,0.125,0.11879
0.077,0.077,0.000,0.000,0.000,0.077,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.462,0.077,0.154,0.000,0.000,0.000,0.203887
0.100,0.000,0.050,0.000,0.000,0.050,0.200,0.050,0.100,0.050,0.000,0.100,0.000,0.050,0.100,0.000,0.050,0.000,0.000,0.100,0.205283
0.000,0.000,0.000,0.059,0.118,0.000,0.000,0.176,0.059,0.059,0.118,0.059,0.000,0.059,0.000,0.059,0.176,0.000,0.000,0.059,0.109963
0.000,0.100,0.000,0.100,0.000,0.100,0.100,0.000,0.000,0.100,0.200,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.100,0.000,0.132025
0.167,0.083,0.000,0.083,0.000,0.083,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.083,0.000,0.083,0.083,0.000,0.000,0.167,0.0803778
0.182,0.091,0.091,0.182,0.000,0.000,0.000,0.091,0.000,0.091,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.0860403
0.091,0.091,0.000,0.091,0.000,0.091,0.000,0.091,0.000,0.091,0.182,0.000,0.000,0.000,0.000,0.182,0.091,0.000,0.000,0.000,0.151708
0.000,0.100,0.000,0.000,0.000,0.000,0.300,0.300,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.288105
0.158,0.000,0.000,0.053,0.000,0.158,0.105,0.000,0.000,0.000,0.316,0.053,0.000,0.000,0.053,0.105,0.000,0.000,0.000,0.000,0.0703987
0.000,0.000,0.000,0.000,0.125,0.250,0.000,0.000,0.000,0.000,0.250,0.250,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.239417
0.130,0.000,0.043,0.174,0.000,0.043,0.043,0.043,0.043,0.043,0.087,0.043,0.087,0.043,0.000,0.043,0.043,0.000,0.000,0.087,0.0689004
0.040,0.000,0.080,0.040,0.000,0.040,0.000,0.040,0.000,0.000,0.240,0.040,0.080,0.000,0.000,0.200,0.120,0.000,0.040,0.040,0.05618
0.091,0.000,0.091,0.182,0.000,0.000,0.000,0.000,0.000,0.091,0.091,0.091,0.091,0.091,0.000,0.000,0.091,0.000,0.000,0.091,0.0852558
0.067,0.000,0.133,0.067,0.067,0.000,0.000,0.200,0.000,0.133,0.067,0.067,0.067,0.000,0.067,0.000,0.000,0.000,0.000,0.067,0.0930061
0.088,0.059,0.059,0.059,0.000,0.059,0.029,0.088,0.029,0.000,0.059,0.000,0.029,0.000,0.059,0.088,0.147,0.000,0.029,0.118,0.097261
0.071,0.071,0.000,0.000,0.071,0.071,0.214,0.071,0.071,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.000,0.000,0.1256
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.125,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.250,0.179792
0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.100,0.100,0.000,0.000,0.300,0.000,0.137606
0.000,0.000,0.000,0.118,0.000,0.000,0.059,0.059,0.000,0.059,0.118,0.059,0.059,0.000,0.118,0.176,0.000,0.000,0.118,0.059,0.0815451
0.133,0.067,0.000,0.133,0.000,0.133,0.067,0.133,0.000,0.067,0.133,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.000,0.120404
0.056,0.111,0.056,0.111,0.000,0.000,0.111,0.167,0.056,0.000,0.167,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.111,0.108855
0.000,0.000,0.111,0.056,0.000,0.056,0.000,0.056,0.000,0.000,0.056,0.056,0.056,0.167,0.056,0.056,0.111,0.000,0.000,0.167,0.0610147
0.118,0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,0.000,0.176,0.059,0.000,0.059,0.118,0.118,0.118,0.000,0.000,0.059,0.079306
0.308,0.077,0.000,0.077,0.000,0.077,0.000,0.077,0.000,0.077,0.077,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.154,0.119429
0.111,0.000,0.000,0.056,0.056,0.000,0.111,0.000,0.000,0.111,0.111,0.056,0.000,0.000,0.111,0.056,0.056,0.056,0.056,0.056,0.0672762
0.222,0.111,0.000,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.115065
0.071,0.000,0.071,0.000,0.000,0.143,0.000,0.071,0.000,0.071,0.071,0.071,0.071,0.071,0.071,0.000,0.071,0.000,0.000,0.143,0.0830562
0.111,0.111,0.000,0.222,0.000,0.111,0.000,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.117068
0.176,0.000,0.000,0.176,0.059,0.000,0.000,0.000,0.059,0.000,0.059,0.059,0.000,0.000,0.000,0.118,0.059,0.059,0.000,0.176,0.116148
0.071,0.000,0.214,0.000,0.143,0.143,0.000,0.000,0.071,0.000,0.071,0.071,0.000,0.000,0.000,0.000,0.071,0.000,0.000,0.143,0.223162
0.000,0.000,0.077,0.000,0.077,0.077,0.154,0.000,0.000,0.000,0.231,0.077,0.000,0.000,0.000,0.231,0.000,0.000,0.000,0.077,0.109616
0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.100,0.000,0.000,0.200,0.100,0.000,0.100,0.000,0.100,0.000,0.000,0.000,0.000,0.129067
0.087,0.087,0.043,0.043,0.000,0.087,0.000,0.000,0.000,0.043,0.087,0.000,0.043,0.000,0.087,0.217,0.130,0.000,0.000,0.043,0.105992
0.273,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.091,0.000,0.000,0.091,0.000,0.000,0.182,0.0855492
0.000,0.000,0.158,0.105,0.000,0.053,0.105,0.053,0.000,0.053,0.211,0.053,0.053,0.053,0.000,0.000,0.000,0.000,0.000,0.105,0.0614056
0.000,0.062,0.062,0.000,0.062,0.125,0.000,0.188,0.062,0.125,0.062,0.000,0.000,0.062,0.062,0.000,0.062,0.000,0.000,0.062,0.117561
0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.083,0.000,0.000,0.167,0.083,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.250,0.0878919
0.133,0.067,0.000,0.000,0.000,0.067,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.333,0.000,0.114657
0.000,0.083,0.167,0.000,0.000,0.000,0.000,0.000,0.083,0.167,0.083,0.000,0.000,0.000,0.083,0.167,0.000,0.000,0.083,0.083,0.136599
0.053,0.053,0.053,0.000,0.000,0.053,0.105,0.211,0.000,0.000,0.105,0.000,0.105,0.053,0.053,0.053,0.000,0.000,0.000,0.105,0.0848317
0.000,0.000,0.077,0.154,0.000,0.077,0.000,0.154,0.000,0.231,0.000,0.077,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.077,0.127798
0.077,0.077,0.000,0.154,0.000,0.000,0.154,0.077,0.000,0.000,0.154,0.000,0.154,0.000,0.000,0.000,0.077,0.000,0.000,0.077,0.0980831
0.056,0.000,0.111,0.056,0.000,0.000,0.000,0.056,0.000,0.111,0.056,0.056,0.056,0.000,0.056,0.056,0.111,0.000,0.000,0.222,0.0751017
0.133,0.067,0.000,0.200,0.000,0.067,0.133,0.000,0.000,0.067,0.067,0.000,0.067,0.000,0.000,0.067,0.067,0.000,0.000,0.067,0.0948058
0.000,0.000,0.062,0.188,0.000,0.125,0.125,0.062,0.125,0.062,0.062,0.000,0.000,0.000,0.000,0.062,0.062,0.000,0.000,0.062,0.166495
0.000,0.000,0.000,0.091,0.000,0.000,0.091,0.182,0.000,0.000,0.273,0.091,0.000,0.000,0.000,0.000,0.273,0.000,0.000,0.000,0.138577
0.000,0.000,0.000,0.000,0.000,0.235,0.000,0.059,0.000,0.059,0.118,0.059,0.000,0.000,0.059,0.118,0.059,0.000,0.059,0.176,0.0733319
0.143,0.071,0.000,0.214,0.071,0.000,0.071,0.000,0.000,0.071,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.0838141
0.077,0.000,0.000,0.077,0.000,0.000,0.000,0.077,0.077,0.154,0.000,0.077,0.077,0.000,0.077,0.000,0.154,0.000,0.000,0.154,0.157224
0.000,0.091,0.091,0.091,0.000,0.091,0.000,0.182,0.000,0.182,0.182,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.0822995
0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.375,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.118932
0.083,0.083,0.000,0.083,0.000,0.167,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.167,0.083,0.167,0.000,0.000,0.083,0.000,0.0807761
0.000,0.000,0.091,0.182,0.000,0.182,0.000,0.000,0.000,0.091,0.136,0.045,0.045,0.000,0.091,0.091,0.000,0.000,0.045,0.000,0.0730554
0.091,0.000,0.000,0.000,0.000,0.182,0.182,0.000,0.000,0.091,0.091,0.091,0.000,0.000,0.091,0.000,0.091,0.000,0.000,0.091,0.154675
0.036,0.000,0.036,0.000,0.071,0.107,0.036,0.071,0.036,0.071,0.071,0.036,0.071,0.107,0.071,0.107,0.071,0.000,0.000,0.000,0.0678524
0.056,0.000,0.028,0.028,0.028,0.111,0.083,0.028,0.028,0.056,0.167,0.028,0.000,0.000,0.111,0.083,0.083,0.000,0.056,0.028,0.0660168
0.067,0.067,0.067,0.100,0.000,0.133,0.033,0.133,0.000,0.033,0.033,0.000,0.000,0.067,0.167,0.000,0.033,0.033,0.033,0.000,0.0747623
0.059,0.000,0.000,0.000,0.000,0.000,0.176,0.059,0.000,0.059,0.176,0.059,0.000,0.000,0.059,0.000,0.059,0.059,0.059,0.176,0.0663537
0.000,0.111,0.333,0.000,0.000,0.111,0.000,0.000,0.000,0.222,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.140367
0.125,0.125,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.176646
0.200,0.067,0.000,0.200,0.000,0.133,0.000,0.067,0.000,0.067,0.067,0.000,0.000,0.000,0.067,0.000,0.133,0.000,0.000,0.000,0.124395
0.000,0.000,0.000,0.000,0.000,0.133,0.067,0.067,0.000,0.000,0.067,0.067,0.067,0.133,0.000,0.067,0.067,0.000,0.067,0.200,0.0665847
0.182,0.091,0.000,0.000,0.000,0.091,0.273,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.182,0.186423
0.000,0.000,0.000,0.083,0.000,0.250,0.083,0.000,0.000,0.000,0.083,0.083,0.000,0.083,0.000,0.167,0.083,0.000,0.000,0.083,0.121379
0.100,0.000,0.050,0.150,0.050,0.050,0.000,0.050,0.000,0.100,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.050,0.100,0.0694607
0.000,0.000,0.000,0.154,0.000,0.154,0.077,0.077,0.000,0.077,0.000,0.077,0.000,0.000,0.000,0.231,0.154,0.000,0.000,0.000,0.301713
0.174,0.043,0.043,0.087,0.043,0.087,0.000,0.000,0.043,0.043,0.087,0.043,0.000,0.043,0.087,0.000,0.043,0.087,0.000,0.043,0.0786415
0.056,0.000,0.111,0.056,0.000,0.000,0.000,0.111,0.056,0.056,0.056,0.056,0.000,0.000,0.111,0.000,0.111,0.000,0.056,0.167,0.107972
0.172,0.034,0.034,0.138,0.000,0.034,0.069,0.069,0.138,0.000,0.069,0.000,0.000,0.069,0.069,0.034,0.000,0.000,0.034,0.034,0.122146
0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.300,0.100,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.100,0.126619
0.083,0.083,0.167,0.000,0.083,0.000,0.000,0.167,0.000,0.083,0.083,0.000,0.000,0.000,0.000,0.083,0.167,0.000,0.000,0.000,0.20423
0.200,0.067,0.000,0.067,0.000,0.067,0.067,0.000,0.067,0.067,0.133,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.000,0.133,0.110369
0.286,0.000,0.000,0.000,0.000,0.071,0.071,0.000,0.000,0.071,0.214,0.071,0.071,0.000,0.071,0.000,0.000,0.000,0.000,0.071,0.0728029
0.125,0.000,0.000,0.188,0.000,0.000,0.000,0.062,0.000,0.062,0.250,0.062,0.000,0.062,0.000,0.062,0.062,0.000,0.000,0.062,0.063442
0.152,0.000,0.030,0.000,0.000,0.121,0.061,0.061,0.030,0.030,0.121,0.061,0.000,0.000,0.242,0.030,0.000,0.000,0.000,0.061,0.0943356
0.067,0.000,0.000,0.067,0.067,0.000,0.000,0.133,0.000,0.067,0.133,0.067,0.000,0.000,0.067,0.133,0.067,0.000,0.000,0.133,0.111358
0.000,0.000,0.062,0.062,0.062,0.125,0.000,0.000,0.000,0.000,0.250,0.062,0.125,0.062,0.062,0.062,0.062,0.000,0.000,0.000,0.0662239
0.143,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.143,0.000,0.143,0.143,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.143,0.255092
0.167,0.000,0.083,0.083,0.000,0.000,0.000,0.083,0.000,0.167,0.083,0.083,0.000,0.000,0.000,0.083,0.167,0.000,0.000,0.000,0.140411
0.000,0.071,0.214,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.071,0.071,0.071,0.000,0.000,0.071,0.128253
0.188,0.000,0.062,0.062,0.031,0.094,0.000,0.062,0.031,0.000,0.031,0.031,0.031,0.062,0.031,0.062,0.062,0.000,0.031,0.125,0.075363
0.067,0.000,0.200,0.000,0.000,0.133,0.000,0.000,0.000,0.200,0.133,0.067,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.0905538
0.059,0.059,0.059,0.000,0.000,0.000,0.059,0.118,0.000,0.000,0.353,0.000,0.000,0.000,0.059,0.059,0.059,0.000,0.000,0.118,0.0665921
0.000,0.000,0.091,0.000,0.091,0.182,0.000,0.000,0.000,0.000,0.182,0.091,0.000,0.000,0.091,0.000,0.273,0.000,0.000,0.000,0.158747
0.000,0.000,0.083,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.083,0.083,0.000,0.000,0.083,0.417,0.000,0.000,0.000,0.167,0.177236
0.062,0.000,0.062,0.062,0.000,0.062,0.000,0.000,0.188,0.000,0.125,0.062,0.000,0.125,0.000,0.062,0.125,0.000,0.000,0.062,0.135041
0.222,0.111,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.222,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.105194
0.091,0.091,0.000,0.091,0.091,0.000,0.091,0.091,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.182,0.144493
0.083,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.167,0.083,0.083,0.000,0.000,0.083,0.000,0.000,0.000,0.167,0.0848559
0.091,0.091,0.000,0.000,0.000,0.182,0.091,0.000,0.000,0.000,0.273,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.091,0.091,0.0829557
0.034,0.000,0.138,0.034,0.000,0.000,0.207,0.172,0.034,0.034,0.034,0.034,0.000,0.000,0.069,0.069,0.034,0.034,0.069,0.000,0.116635
0.000,0.000,0.188,0.125,0.062,0.062,0.000,0.000,0.000,0.000,0.125,0.062,0.000,0.000,0.000,0.062,0.125,0.125,0.062,0.000,0.0767512
0.091,0.091,0.091,0.000,0.000,0.000,0.000,0.091,0.091,0.000,0.364,0.000,0.000,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.126464
0.100,0.000,0.000,0.033,0.000,0.167,0.033,0.100,0.033,0.000,0.100,0.033,0.000,0.033,0.167,0.067,0.033,0.000,0.033,0.067,0.0757151
0.095,0.000,0.000,0.190,0.000,0.000,0.000,0.048,0.048,0.095,0.095,0.048,0.000,0.048,0.048,0.095,0.095,0.000,0.000,0.095,0.0757794
0.214,0.071,0.071,0.071,0.000,0.000,0.000,0.143,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.143,0.0778367
0.000,0.038,0.038,0.154,0.000,0.115,0.000,0.115,0.038,0.038,0.192,0.038,0.038,0.000,0.077,0.038,0.000,0.000,0.038,0.038,0.0808178
0.083,0.000,0.083,0.000,0.000,0.167,0.083,0.000,0.000,0.000,0.000,0.083,0.000,0.083,0.000,0.167,0.083,0.083,0.000,0.083,0.134653
0.000,0.000,0.000,0.059,0.059,0.000,0.118,0.000,0.059,0.000,0.176,0.059,0.000,0.059,0.118,0.176,0.000,0.000,0.000,0.118,0.0917676
0.250,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.250,0.083,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.167,0.100287
0.071,0.071,0.071,0.000,0.000,0.214,0.000,0.071,0.000,0.000,0.000,0.000,0.071,0.071,0.000,0.143,0.000,0.000,0.071,0.143,0.11688
0.083,0.083,0.167,0.083,0.000,0.000,0.000,0.083,0.000,0.167,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.100396
0.053,0.053,0.053,0.053,0.000,0.053,0.105,0.105,0.000,0.105,0.158,0.000,0.000,0.000,0.000,0.158,0.000,0.000,0.053,0.053,0.0763252
0.062,0.062,0.000,0.062,0.062,0.062,0.000,0.125,0.062,0.062,0.000,0.000,0.062,0.125,0.062,0.000,0.125,0.000,0.000,0.062,0.10547
0.000,0.050,0.050,0.000,0.000,0.100,0.050,0.200,0.100,0.000,0.050,0.000,0.000,0.050,0.200,0.050,0.050,0.000,0.000,0.050,0.15621
0.091,0.000,0.000,0.182,0.000,0.000,0.182,0.000,0.000,0.000,0.182,0.091,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.182,0.0962288
0.136,0.045,0.045,0.091,0.000,0.091,0.136,0.045,0.045,0.000,0.136,0.045,0.000,0.000,0.045,0.000,0.045,0.000,0.000,0.091,0.131742
0.125,0.042,0.083,0.000,0.000,0.042,0.042,0.042,0.000,0.083,0.042,0.000,0.000,0.042,0.083,0.125,0.125,0.000,0.000,0.125,0.0819198
0.071,0.000,0.071,0.036,0.000,0.000,0.250,0.179,0.000,0.036,0.107,0.036,0.000,0.000,0.000,0.143,0.036,0.000,0.000,0.036,0.11104
0.077,0.077,0.077,0.077,0.000,0.077,0.077,0.154,0.000,0.154,0.154,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.111542
0.053,0.000,0.000,0.158,0.000,0.105,0.105,0.053,0.000,0.000,0.105,0.053,0.000,0.053,0.000,0.105,0.053,0.053,0.053,0.053,0.0821002
0.000,0.050,0.000,0.150,0.000,0.100,0.100,0.050,0.050,0.050,0.050,0.000,0.000,0.000,0.050,0.150,0.000,0.000,0.000,0.200,0.106875
0.273,0.000,0.000,0.136,0.000,0.091,0.000,0.045,0.000,0.045,0.000,0.045,0.000,0.000,0.136,0.136,0.045,0.000,0.045,0.000,0.124644
0.105,0.105,0.000,0.158,0.000,0.053,0.105,0.053,0.000,0.000,0.053,0.053,0.000,0.000,0.158,0.000,0.053,0.000,0.000,0.105,0.199849
0.062,0.000,0.000,0.125,0.062,0.000,0.000,0.125,0.000,0.125,0.125,0.062,0.125,0.062,0.000,0.062,0.062,0.000,0.000,0.000,0.0721975
0.000,0.071,0.000,0.071,0.000,0.143,0.071,0.071,0.000,0.071,0.071,0.000,0.000,0.214,0.071,0.000,0.000,0.000,0.000,0.143,0.0574148
0.071,0.036,0.036,0.000,0.036,0.036,0.000,0.179,0.071,0.000,0.000,0.000,0.000,0.107,0.071,0.036,0.214,0.000,0.000,0.107,0.101436
0.000,0.077,0.077,0.000,0.000,0.154,0.077,0.000,0.000,0.077,0.154,0.000,0.000,0.000,0.077,0.000,0.231,0.000,0.000,0.077,0.0994477
0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.273,0.000,0.000,0.136,0.000,0.165682
0.000,0.000,0.077,0.231,0.000,0.000,0.000,0.000,0.000,0.154,0.077,0.077,0.000,0.000,0.000,0.231,0.000,0.000,0.000,0.154,0.123903
0.176,0.059,0.000,0.059,0.000,0.059,0.000,0.118,0.000,0.059,0.118,0.000,0.000,0.000,0.000,0.118,0.118,0.059,0.000,0.059,0.0820989
0.091,0.091,0.000,0.000,0.000,0.364,0.000,0.091,0.000,0.000,0.091,0.000,0.091,0.000,0.091,0.000,0.091,0.000,0.000,0.000,0.168177
0.042,0.000,0.000,0.125,0.000,0.083,0.042,0.083,0.083,0.125,0.125,0.042,0.042,0.000,0.000,0.125,0.000,0.000,0.000,0.083,0.0782218
0.154,0.077,0.077,0.000,0.000,0.077,0.154,0.154,0.000,0.077,0.077,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.077,0.112572
0.077,0.000,0.038,0.154,0.000,0.038,0.000,0.077,0.000,0.077,0.077,0.038,0.000,0.038,0.115,0.077,0.077,0.038,0.000,0.077,0.0622125
0.077,0.077,0.077,0.077,0.000,0.000,0.000,0.077,0.000,0.000,0.308,0.000,0.000,0.077,0.000,0.077,0.077,0.000,0.000,0.077,0.0761964
0.000,0.000,0.150,0.000,0.050,0.150,0.000,0.100,0.050,0.150,0.100,0.050,0.000,0.050,0.050,0.000,0.000,0.000,0.000,0.100,0.0805468
0.154,0.077,0.000,0.077,0.000,0.000,0.000,0.154,0.000,0.000,0.154,0.000,0.000,0.077,0.000,0.000,0.231,0.000,0.000,0.077,0.100121
0.143,0.000,0.071,0.071,0.000,0.000,0.000,0.071,0.000,0.071,0.000,0.071,0.000,0.071,0.071,0.000,0.071,0.000,0.000,0.286,0.0906566
0.118,0.059,0.000,0.059,0.000,0.000,0.118,0.176,0.000,0.059,0.118,0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,0.118,0.104034
0.154,0.000,0.154,0.000,0.000,0.077,0.000,0.000,0.000,0.154,0.077,0.077,0.000,0.000,0.000,0.154,0.077,0.000,0.000,0.077,0.129664
0.000,0.071,0.071,0.071,0.000,0.000,0.000,0.071,0.000,0.214,0.143,0.000,0.000,0.000,0.000,0.071,0.071,0.071,0.000,0.143,0.0670921
0.050,0.000,0.050,0.050,0.000,0.000,0.000,0.100,0.000,0.100,0.150,0.050,0.000,0.000,0.050,0.150,0.150,0.000,0.000,0.100,0.0768627
0.167,0.056,0.000,0.056,0.000,0.167,0.056,0.111,0.056,0.056,0.111,0.000,0.000,0.111,0.056,0.000,0.000,0.000,0.000,0.000,0.0828237
0.133,0.067,0.067,0.000,0.000,0.133,0.267,0.000,0.000,0.067,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.0932504
0.188,0.062,0.062,0.125,0.000,0.000,0.125,0.000,0.000,0.062,0.188,0.000,0.000,0.000,0.000,0.062,0.062,0.000,0.000,0.062,0.0804845
0.000,0.111,0.000,0.222,0.111,0.111,0.000,0.111,0.000,0.000,0.111,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.000,0.000,0.147808
0.059,0.059,0.000,0.029,0.000,0.235,0.059,0.059,0.000,0.029,0.000,0.000,0.059,0.029,0.206,0.029,0.059,0.000,0.029,0.059,0.0834807
0.000,0.033,0.067,0.067,0.000,0.133,0.033,0.100,0.033,0.067,0.067,0.000,0.033,0.000,0.067,0.133,0.000,0.000,0.067,0.100,0.0753486
0.000,0.059,0.000,0.000,0.000,0.118,0.000,0.000,0.118,0.118,0.235,0.000,0.059,0.000,0.118,0.118,0.000,0.000,0.000,0.059,0.0933757
0.000,0.050,0.050,0.000,0.000,0.100,0.000,0.150,0.000,0.000,0.300,0.000,0.000,0.050,0.050,0.100,0.050,0.000,0.050,0.050,0.063737
0.071,0.000,0.000,0.000,0.071,0.071,0.000,0.143,0.143,0.071,0.143,0.071,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.135228
0.000,0.000,0.067,0.067,0.000,0.033,0.100,0.067,0.033,0.100,0.033,0.033,0.000,0.067,0.067,0.067,0.100,0.033,0.000,0.133,0.069741
0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.083,0.083,0.083,0.000,0.083,0.000,0.083,0.000,0.000,0.167,0.107226
0.083,0.000,0.083,0.083,0.000,0.167,0.083,0.000,0.083,0.000,0.083,0.083,0.083,0.000,0.000,0.000,0.000,0.083,0.000,0.083,0.162699
0.000,0.056,0.056,0.000,0.000,0.056,0.111,0.056,0.000,0.000,0.167,0.056,0.000,0.056,0.111,0.111,0.056,0.000,0.000,0.111,0.107829
0.000,0.000,0.125,0.250,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.250,0.180292
0.154,0.000,0.077,0.000,0.077,0.000,0.000,0.000,0.154,0.000,0.308,0.077,0.077,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.148385
0.000,0.048,0.000,0.048,0.000,0.048,0.048,0.190,0.048,0.048,0.238,0.000,0.095,0.000,0.048,0.095,0.000,0.000,0.000,0.048,0.0728333
0.067,0.000,0.067,0.133,0.000,0.000,0.067,0.000,0.000,0.133,0.000,0.067,0.000,0.133,0.000,0.000,0.067,0.000,0.000,0.267,0.0632289
0.207,0.000,0.000,0.069,0.000,0.138,0.034,0.138,0.034,0.000,0.138,0.034,0.034,0.000,0.000,0.069,0.000,0.000,0.000,0.103,0.0771983
0.118,0.059,0.000,0.000,0.000,0.294,0.000,0.000,0.000,0.000,0.118,0.059,0.059,0.000,0.118,0.000,0.059,0.000,0.000,0.118,0.109121
0.000,0.000,0.000,0.000,0.111,0.556,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.329895
0.130,0.043,0.043,0.043,0.087,0.000,0.000,0.174,0.043,0.043,0.043,0.000,0.087,0.000,0.000,0.043,0.043,0.000,0.043,0.130,0.0967146
0.091,0.091,0.091,0.091,0.000,0.182,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.091,0.091,0.091,0.000,0.000,0.000,0.000,0.131172
0.100,0.000,0.000,0.000,0.000,0.100,0.000,0.100,0.000,0.100,0.200,0.100,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.100,0.118698
0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.182,0.000,0.091,0.182,0.091,0.000,0.000,0.000,0.000,0.182,0.000,0.000,0.182,0.107633
0.000,0.040,0.040,0.000,0.120,0.080,0.000,0.080,0.040,0.040,0.000,0.000,0.080,0.080,0.040,0.120,0.120,0.000,0.000,0.120,0.0847045
